haskell-th-abstraction 0.3.1.0-1
haskell-time-compat 1.9.2.2-12
haskell-tls 1.4.1-84
haskell-transformers-compat 0.6.5-1
haskell-unicode-transforms 0.3.6-1
haskell-unordered-containers 0.2.10.0-18
haskell-utf8-string 1.0.1.1-13
haskell-uuid-types 1.0.3-20
haskell-vector 0.12.0.3-16
haskell-x509 1.7.5-32
haskell-x509-store 1.6.7-31
haskell-x509-system 1.6.6-99
haskell-x509-validation 1.6.11-31
haskell-xml 1.3.14-19
haskell-zip-archive 0.4.1-16
haskell-zlib 0.6.2.1-1
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190818-1
hyphen 2.8.8-2
i3-gaps 4.17.1-1
i3lock-color 2.12.c-1
iana-etc 20190823-1
icoutils 0.32.3-2
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.65-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
inotify-tools 3.20.1-1
intel-compute-runtime 19.37.14191-1
intel-gmmlib 19.3.2-1
intel-graphics-compiler 1:1.0.11-1
intel-media-driver 19.2.1-2
intel-opencl-clang 8.0.1-2
intel-tbb 2019.8-1
iotop 0.6-6
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20190709-1
iso-codes 4.3-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-openjfx 8.u172-2
java-runtime-common 3-1
jbig2dec 0.16-1
jdk-openjdk 12.0.2.u10-1
jdk8-openjdk 8.u222-2
jemalloc 1:5.2.1-1
jfsutils 1.1.15-6
jq 1.6-2
jre-openjdk 12.0.2.u10-1
jre-openjdk-headless 12.0.2.u10-1
jre8-openjdk 8.u222-2
jre8-openjdk-headless 8.u222-2
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.9.1-1
kaccounts-integration 19.08.1-1
karchive 5.62.0-1
kauth 5.62.0-1
kbd 2.2.0-3
kbookmarks 5.62.0-1
kcmutils 5.62.0-1
kcodecs 5.62.0-1
kcompletion 5.62.0-1
kconfig 5.62.0-1
kconfigwidgets 5.62.0-1
kcoreaddons 5.62.0-1
kcrash 5.62.0-1
kdbusaddons 5.62.0-1
kdeclarative 5.62.0-1
kdeconnect 1.3.5-3
kdenlive 19.08.1-1
keybase 4.4.2-1
keyutils 1.6.1-1
kfilemetadata 5.62.0-1
kglobalaccel 5.62.0-1
kguiaddons 5.62.0-1
ki18n 5.62.0-1
kiconthemes 5.62.0-1
kio 5.62.1-1
kirigami2 5.62.0-1
kitemviews 5.62.0-1
kjobwidgets 5.62.0-1
kmod 26-2
knewstuff 5.62.0-1
knotifications 5.62.0-1
knotifyconfig 5.62.0-1
kpackage 5.62.0-1
krb5 1.17-1
kservice 5.62.0-1
ktextwidgets 5.62.0-1
kwallet 5.62.0-1
kwayland 5.62.0-1
kwidgetsaddons 5.62.0-1
kwindowsystem 5.62.0-1
kxmlgui 5.62.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lazarus 2.0.4-1
lazarus-gtk2 2.0.4-1
lcms2 2.9-2
ldb 1:1.5.5-1
ldns 1.7.1-1
lensfun 0.3.2-7
less 551-1
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.9-1
lib32-alsa-plugins 1.1.9-1
lib32-at-spi2-atk 2.34.0-1
lib32-at-spi2-core 2.34.0-1
lib32-atk 2.34.1-1
lib32-attr 2.4.48-1
lib32-brotli 1.0.7-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.2+17+g52a7c79fd-1
lib32-colord 1.4.4-1
lib32-cracklib 2.9.7-1
lib32-dbus 1.12.16-1
lib32-dconf 0.34.0-1
lib32-e2fsprogs 1.45.3-1
lib32-expat 2.2.7-1
lib32-faudio 19.09-1
lib32-flac 1.3.3-1
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freetype2 2.10.1-1
lib32-fribidi 1.0.5-1
lib32-gcc-libs 9.1.0-2
lib32-gdk-pixbuf2 2.38.2-1
lib32-gettext 0.20.1-1
lib32-giflib 5.2.1-1
lib32-glib-networking 2.62.0-1
lib32-glib2 2.62.0-1
lib32-glibc 2.29-4
lib32-glu 9.0.1-1
lib32-gmp 6.1.2-2
lib32-gnutls 3.6.9-1
lib32-gst-plugins-base-libs 1.14.4-1
lib32-gstreamer 1.14.4-1
lib32-gtk2 2.24.32-1
lib32-gtk3 3.24.11-1
lib32-harfbuzz 2.6.1-1
lib32-icu 64.2-1
lib32-json-glib 1.4.4-1
lib32-keyutils 1.6-1
lib32-krb5 1.17-1
lib32-lcms2 2.9-1
lib32-libappindicator-gtk2 12.10.0-10
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcap 2.27-1
lib32-libcroco 0.6.12+4+g9ad7287-2
lib32-libcups 2.3.0-1
lib32-libdatrie 0.2.12-1
lib32-libdbusmenu-glib 16.04.0-3
lib32-libdbusmenu-gtk2 16.04.0-3
lib32-libdrm 2.4.99-1
lib32-libelf 0.177-1
lib32-libepoxy 1.5.3-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.5-1
lib32-libglvnd 1.1.1-1
lib32-libgpg-error 1.36-1
lib32-libgudev 233-1
lib32-libgusb 0.3.0-1
lib32-libice 1.0.9-3
lib32-libidn 1.35-1
lib32-libidn2 2.2.0-1
lib32-libindicator-gtk2 12.10.1-7
lib32-libjpeg-turbo 2.0.2-1
lib32-libldap 2.4.48-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libnl 3.5.0-1
lib32-libnsl 1.2.0-1
lib32-libogg 1.3.4-1
lib32-libpcap 1.9.0-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-1
lib32-libproxy 0.4.15-2
lib32-libpsl 0.21.0-1
lib32-libpulse 13.0-1
lib32-librsvg 2.46.0-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libsoup 2.68.1-1
lib32-libtasn1 4.14-1
lib32-libthai 0.1.28-1
lib32-libtiff 4.0.10-1
lib32-libtirpc 1.1.4-1
lib32-libunistring 0.9.10-1
